"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
2016,CT,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"420,588"
2016,CT,"Electric Generators, Electric Utilities",Petroleum (Barrels),"11,908"
2016,DC,Total Electric Power Industry,Natural Gas (Mcf),"600,540"
2016,DC,Total Electric Power Industry,Petroleum (Barrels),"4,659"
2016,DC,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"600,226"
2016,DC,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"4,659"
2016,DC,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),314
2016,DE,Total Electric Power Industry,Coal (Short Tons),"226,928"
2016,DE,Total Electric Power Industry,Natural Gas (Mcf),"58,855,291"
2016,DE,Total Electric Power Industry,Other Gases (Billion Btu),"1,469"
2016,DE,Total Electric Power Industry,Petroleum (Barrels),"114,110"
2016,DE,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,022,249"
2016,DE,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"1,469"
2016,DE,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2016,DE,"Combined Heat and Power, Electric Power",Coal (Short Tons),0
2016,DE,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"1,652,593"
2016,DE,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"6,355"
2016,DE,"Electric Generators, Independent Power Producers",Coal (Short Tons),"226,928"
2016,DE,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"51,469,306"
2016,DE,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"90,723"
2016,DE,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"711,143"
2016,DE,"Electric Generators, Electric Utilities",Petroleum (Barrels),"17,032"
2016,FL,Total Electric Power Industry,Coal (Short Tons),"17,699,583"
2016,FL,Total Electric Power Industry,Natural Gas (Mcf),"1,186,725,133"
2016,FL,Total Electric Power Industry,Other Gases (Billion Btu),24
2016,FL,Total Electric Power Industry,Petroleum (Barrels),"5,121,052"
2016,FL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"32,199"
2016,FL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"7,701,243"
2016,FL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),24
2016,FL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"25,156"
2016,FL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"171,840"
2016,FL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
2016,FL,"Combined Heat and Power, Electric Power",Coal (Short Tons),"325,914"
2016,FL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"27,220,500"
2016,FL,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"4,911"
2016,FL,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2016,FL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"70,537,527"
2016,FL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"11,057"
2016,FL,"Electric Generators, Electric Utilities",Coal (Short Tons),"17,341,470"
2016,FL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"1,081,094,023"
2016,FL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"5,079,928"
2016,GA,Total Electric Power Industry,Coal (Short Tons),"19,317,753"
2016,GA,Total Electric Power Industry,Natural Gas (Mcf),"381,331,021"
2016,GA,Total Electric Power Industry,Petroleum (Barrels),"335,908"
2016,GA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"46,157"
2016,GA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,883,867"
2016,GA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"154,094"
2016,GA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),0
2016,GA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"3,206"
2016,GA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"3,071,961"
2016,GA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"5,637"
2016,GA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"80,117,383"
2016,GA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"39,571"
2016,GA,"Electric Generators, Electric Utilities",Coal (Short Tons),"19,271,596"
2016,GA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"295,257,810"
2016,GA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"133,400"
2016,HI,Total Electric Power Industry,Coal (Short Tons),"779,186"
2016,HI,Total Electric Power Industry,Geothermal (Billion Btu),"2,401"
2016,HI,Total Electric Power Industry,Other Gases (Billion Btu),242
2016,HI,Total Electric Power Industry,Petroleum (Barrels),"10,796,701"
2016,HI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,734"
2016,HI,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),242
2016,HI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"184,247"
2016,HI,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"10,473"
2016,HI,"Combined Heat and Power, Electric Power",Coal (Short Tons),"775,452"
2016,HI,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"1,774,037"
2016,HI,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),"2,401"
2016,HI,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"241,194"
2016,HI,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,586,750"
2016,IA,Total Electric Power Industry,Coal (Short Tons),"14,019,427"
2016,IA,Total Electric Power Industry,Natural Gas (Mcf),"22,011,693"
2016,IA,Total Electric Power Industry,Petroleum (Barrels),"194,156"
2016,IA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"519,491"
2016,IA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"853,812"
2016,IA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"24,669"
2016,IA,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"22,585"
2016,IA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"459,092"
2016,IA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"8,731"
2016,IA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),199
2016,IA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"2,030"
2016,IA,"Electric Generators, Electric Utilities",Coal (Short Tons),"13,477,351"
2016,IA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"20,698,590"
2016,IA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"158,726"
2016,ID,Total Electric Power Industry,Coal (Short Tons),"6,421"
2016,ID,Total Electric Power Industry,Geothermal (Billion Btu),665
2016,ID,Total Electric Power Industry,Natural Gas (Mcf),"24,097,911"
2016,ID,Total Electric Power Industry,Petroleum (Barrels),161
2016,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"6,421"
2016,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"643,688"
2016,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),0
2016,ID,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"170,087"
2016,ID,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),118
2016,ID,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"725,944"
2016,ID,"Electric Generators, Independent Power Producers",Geothermal (Billion Btu),665
2016,ID,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"8,864,532"
2016,ID,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"13,693,660"
2016,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),43
2016,IL,Total Electric Power Industry,Coal (Short Tons),"35,899,141"
2016,IL,Total Electric Power Industry,Natural Gas (Mcf),"149,481,217"
2016,IL,Total Electric Power Industry,Other Gases (Billion Btu),"1,749"
2016,IL,Total Electric Power Industry,Petroleum (Barrels),"135,432"
2016,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"459,627"
2016,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"4,970,011"
2016,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"1,709"
2016,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),172
2016,IL,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"8,676"
2016,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,812,940"
2016,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,230"
2016,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,287,490"
2016,IL,"Combined Heat and Power, Electric Power",Other Gases (Billion Btu),40
2016,IL,"Electric Generators, Independent Power Producers",Coal (Short Tons),"33,535,531"
2016,IL,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"124,685,956"
2016,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"116,531"
2016,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"1,895,307"
2016,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"13,724,820"
2016,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"17,499"
2016,IN,Total Electric Power Industry,Coal (Short Tons),"36,014,027"
2016,IN,Total Electric Power Industry,Natural Gas (Mcf),"152,405,463"
2016,IN,Total Electric Power Industry,Other Gases (Billion Btu),"12,016"
2016,IN,Total Electric Power Industry,Petroleum (Barrels),"997,058"
2016,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,206"
2016,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,890,010"
2016,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"11,921"
2016,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"11,571"
2016,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"10,621"
2016,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"1,016,171"
2016,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),672
2016,IN,"Combined Heat and Power, Electric Power",Coal (Short Tons),"1,697,621"
2016,IN,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"22,974,642"
2016,IN,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
2016,IN,"Electric Generators, Independent Power Producers",Coal (Short Tons),0
2016,IN,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"2,016,416"
2016,IN,"Electric Generators, Independent Power Producers",Petroleum (Barrels),0
2016,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"34,302,579"
2016,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"123,508,224"
2016,IN,"Electric Generators, Electric Utilities",Other Gases (Billion Btu),95
2016,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"984,815"
2016,KS,Total Electric Power Industry,Coal (Short Tons),"14,586,777"
2016,KS,Total Electric Power Industry,Natural Gas (Mcf),"20,680,032"
2016,KS,Total Electric Power Industry,Petroleum (Barrels),"66,214"
2016,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"280,870"
2016,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"14,586,777"
2016,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"20,399,162"
2016,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"66,214"
2016,KY,Total Electric Power Industry,Coal (Short Tons),"31,858,828"
2016,KY,Total Electric Power Industry,Natural Gas (Mcf),"67,386,030"
2016,KY,Total Electric Power Industry,Petroleum (Barrels),"2,404,335"
2016,KY,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,026,688"
2016,KY,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"5,511,986"
2016,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"31,858,828"
2016,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"60,847,356"
2016,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,404,335"
2016,LA,Total Electric Power Industry,Coal (Short Tons),"8,565,574"
2016,LA,Total Electric Power Industry,Natural Gas (Mcf),"481,008,454"
2016,LA,Total Electric Power Industry,Other Gases (Billion Btu),"11,109"
2016,LA,Total Electric Power Industry,Petroleum (Barrels),"9,092,109"
2016,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2016,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"155,205,297"
2016,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion Btu),"11,109"
2016,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"205,173"
2016,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"739,133"
2016,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"15,998,564"
2016,LA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"2,713,829"
2016,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"28,593,535"
2016,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"3,445"
2016,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"5,851,745"
2016,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"280,471,925"
2016,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"8,883,491"
2016,MA,Total Electric Power Industry,Coal (Short Tons),"907,029"
2016,MA,Total Electric Power Industry,Natural Gas (Mcf),"156,131,514"
2016,MA,Total Electric Power Industry,Petroleum (Barrels),"597,969"
2016,MA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),0
2016,MA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,058,513"
2016,MA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),534
2016,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"2,503,737"
2016,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"18,503"
2016,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"12,471,858"
2016,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"5,013"
2016,MA,"Electric Generators, Independent Power Producers",Coal (Short Tons),"907,029"
2016,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"137,678,434"
2016,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"544,317"
2016,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"2,418,972"
2016,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"29,602"
2016,MD,Total Electric Power Industry,Coal (Short Tons),"5,882,475"
2016,MD,Total Electric Power Industry,Natural Gas (Mcf),"53,485,752"
2016,MD,Total Electric Power Industry,Petroleum (Barrels),"353,249"
2016,MD,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"18,650"
2016,MD,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"390,967"
2016,MD,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"1,937"
2016,MD,"Combined Heat and Power, Commercial Power",Coal (Short Tons),0
2016,MD,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"5,048,466"
2016,MD,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"1,834"
2016,MD,"Combined Heat and Power, Electric Power",Coal (Short Tons),"398,366"
2016,MD,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"11,010,893"
2016,MD,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"9,484"
2016,MD,"Electric Generators, Independent Power Producers",Coal (Short Tons),"5,465,459"
2016,MD,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"37,035,426"
2016,MD,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"337,200"
2016,MD,"Electric Generators, Electric Utilities",Natural Gas (Mcf),0
2016,MD,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,794"
2016,ME,Total Electric Power Industry,Coal (Short Tons),"16,369"
2016,ME,Total Electric Power Industry,Natural Gas (Mcf),"23,894,628"
2016,ME,Total Electric Power Industry,Petroleum (Barrels),"226,723"
2016,ME,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"3,280"
2016,ME,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"1,483,364"
2016,ME,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"7,393"
2016,ME,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"130,205"
2016,ME,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"6,076"
2016,ME,"Combined Heat and Power, Electric Power",Coal (Short Tons),"13,089"
2016,ME,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"47,459"
2016,ME,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"4,873"
2016,ME,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"22,233,600"
2016,ME,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"208,325"
2016,ME,"Electric Generators, Electric Utilities",Petroleum (Barrels),56
2016,MI,Total Electric Power Industry,Coal (Short Tons),"23,122,970"
2016,MI,Total Electric Power Industry,Natural Gas (Mcf),"225,323,189"
2016,MI,Total Electric Power Industry,Other Gases (Billion Btu),"8,921"
2016,MI,Total Electric Power Industry,Petroleum (Barrels),"1,989,568"
2016,MI,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"26,578"
2016,MI,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"5,649,740"
2016,MI,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"323,989"
