"State Historical Tables for 2017
Released: September 2018
Next Update: November 2019",,,,
YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE              (UNITS),CONSUMPTION for ELECTRICITY
1990,ID,Total Electric Power Industry,Natural Gas (Mcf),"733,221"
1990,ID,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,585"
1990,ID,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"30,719"
1990,ID,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),740
1990,ID,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"733,221"
1990,IL,Total Electric Power Industry,Coal (Short Tons),"28,033,010"
1990,IL,Total Electric Power Industry,Petroleum (Barrels),"2,155,575"
1990,IL,Total Electric Power Industry,Natural Gas (Mcf),"17,822,267"
1990,IL,Total Electric Power Industry,Other Gases (Billion BTU),"4,279"
1990,IL,"Electric Generators, Electric Utilities",Coal (Short Tons),"27,395,596"
1990,IL,"Electric Generators, Electric Utilities",Petroleum (Barrels),"2,112,697"
1990,IL,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"9,089,039"
1990,IL,"Electric Generators, Independent Power Producers",Petroleum (Barrels),140
1990,IL,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"100,414"
1990,IL,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),0
1990,IL,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"621,756"
1990,IL,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"637,414"
1990,IL,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"42,738"
1990,IL,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"8,011,058"
1990,IL,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"4,279"
1990,IN,Total Electric Power Industry,Coal (Short Tons),"48,099,024"
1990,IN,Total Electric Power Industry,Petroleum (Barrels),"1,763,063"
1990,IN,Total Electric Power Industry,Natural Gas (Mcf),"16,908,209"
1990,IN,Total Electric Power Industry,Other Gases (Billion BTU),"20,600"
1990,IN,"Electric Generators, Electric Utilities",Coal (Short Tons),"47,653,856"
1990,IN,"Electric Generators, Electric Utilities",Petroleum (Barrels),"1,379,263"
1990,IN,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"6,632,324"
1990,IN,"Combined Heat and Power, Commercial Power",Coal (Short Tons),"46,823"
1990,IN,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),961
1990,IN,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"44,869"
1990,IN,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"398,345"
1990,IN,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"382,839"
1990,IN,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"10,231,016"
1990,IN,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"20,600"
1990,KS,Total Electric Power Industry,Coal (Short Tons),"15,017,606"
1990,KS,Total Electric Power Industry,Petroleum (Barrels),"211,573"
1990,KS,Total Electric Power Industry,Natural Gas (Mcf),"29,874,775"
1990,KS,"Electric Generators, Electric Utilities",Coal (Short Tons),"15,017,606"
1990,KS,"Electric Generators, Electric Utilities",Petroleum (Barrels),"151,675"
1990,KS,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"27,196,794"
1990,KS,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"59,898"
1990,KS,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"2,677,981"
1990,KY,Total Electric Power Industry,Coal (Short Tons),"30,867,075"
1990,KY,Total Electric Power Industry,Petroleum (Barrels),"212,140"
1990,KY,Total Electric Power Industry,Natural Gas (Mcf),"282,503"
1990,KY,"Electric Generators, Electric Utilities",Coal (Short Tons),"30,867,075"
1990,KY,"Electric Generators, Electric Utilities",Petroleum (Barrels),"212,140"
1990,KY,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"282,503"
1990,LA,Total Electric Power Industry,Coal (Short Tons),"11,777,471"
1990,LA,Total Electric Power Industry,Petroleum (Barrels),"386,787"
1990,LA,Total Electric Power Industry,Natural Gas (Mcf),"384,809,349"
1990,LA,Total Electric Power Industry,Other Gases (Billion BTU),"3,920"
1990,LA,"Electric Generators, Electric Utilities",Coal (Short Tons),"11,748,161"
1990,LA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"234,210"
1990,LA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"268,739,917"
1990,LA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"125,000"
1990,LA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"217,900"
1990,LA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),0
1990,LA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"16,368,708"
1990,LA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"446,602"
1990,LA,"Combined Heat and Power, Industrial Power",Coal (Short Tons),"29,310"
1990,LA,"Combined Heat and Power, Industrial Power",Petroleum (Barrels),"27,577"
1990,LA,"Combined Heat and Power, Industrial Power",Natural Gas (Mcf),"99,036,222"
1990,LA,"Combined Heat and Power, Industrial Power",Other Gases (Billion BTU),"3,920"
1990,MA,Total Electric Power Industry,Coal (Short Tons),"4,238,179"
1990,MA,Total Electric Power Industry,Petroleum (Barrels),"24,875,402"
1990,MA,Total Electric Power Industry,Natural Gas (Mcf),"63,096,070"
1990,MA,Total Electric Power Industry,Other Gases (Billion BTU),18
1990,MA,"Electric Generators, Electric Utilities",Coal (Short Tons),"4,200,841"
1990,MA,"Electric Generators, Electric Utilities",Petroleum (Barrels),"23,993,318"
1990,MA,"Electric Generators, Electric Utilities",Natural Gas (Mcf),"55,225,761"
1990,MA,"Electric Generators, Independent Power Producers",Petroleum (Barrels),"21,170"
1990,MA,"Electric Generators, Independent Power Producers",Natural Gas (Mcf),"51,150"
1990,MA,"Combined Heat and Power, Electric Power",Coal (Short Tons),"26,138"
1990,MA,"Combined Heat and Power, Electric Power",Petroleum (Barrels),"90,902"
1990,MA,"Combined Heat and Power, Electric Power",Natural Gas (Mcf),"4,666,942"
1990,MA,"Combined Heat and Power, Electric Power",Other Gases (Billion BTU),18
1990,MA,"Combined Heat and Power, Commercial Power",Petroleum (Barrels),"373,011"
1990,MA,"Combined Heat and Power, Commercial Power",Natural Gas (Mcf),"200,542"
